[20160602,38127]
[20160601,38605]
[20160531,38618]
[20160530,38810]
[20160527,38950]
[20160526,38450]
[20160525,38063]
[20160524,38010]
[20160523,38149]
[20160520,38053]
[20160519,38441]
[20160518,38828]
[20160517,38725]
[20160516,38497]
[20160513,39104]
[20160512,39032]
[20160511,38850]
[20160510,38754]
[20160509,39599]
[20160506,39789]
[20160505,40208]
[20160504,40946]
[20160503,40780]
[20160429,40602]
[20160428,40844]
[20160427,40898]
[20160426,41371]
[20160425,41657]
[20160422,41290]
[20160421,40873]
[20160420,40452]
[20160419,39827]
[20160418,40034]
[20160415,39985]
[20160414,39965]
[20160413,39736]
[20160412,38896]
[20160411,38872]
[20160408,39789]
[20160407,39975]
[20160406,39924]
[20160405,40362]
[20160401,40159]
[20160331,40190]
[20160330,40716]
[20160329,40849]
[20160328,40935]
[20160325,40912]
[20160324,41373]
[20160323,41337]
[20160322,41363]
[20160321,41571]
[20160318,41503]
[20160317,40929]
[20160316,40498]
[20160315,40924]
[20160314,41114]
[20160311,40504]
[20160310,40431]
[20160309,40928]
[20160308,41147]
[20160307,41317]
[20160304,40451]
[20160303,40060]
[20160302,39344]
[20160301,38885]
[20160229,38764]
[20160226,38984]
[20160225,39012]
[20160224,39302]
[20160223,39436]
[20160222,39199]
[20160219,38767]
[20160218,38527]
[20160217,38784]
[20160216,38897]
[20160215,38873]
[20160205,38915]
[20160204,38516]
[20160203,38102]
[20160202,37920]
[20160201,38156]
[20160129,38038]
[20160128,38305]
[20160127,37552]
[20160126,37424]
[20160125,37612]
[20160122,37341]
[20160121,37507]
[20160120,37783]
[20160119,37668]
[20160118,37546]
[20160115,37529]
[20160114,37159]
[20160113,37040]
[20160112,37131]
[20160111,38079]
[20160108,38511]
[20160107,38932]
[20160106,39019]
[20160105,38771]
[20160104,39072]
[20151231,38893]
[20151230,38901]
[20151229,38427]
[20151228,38733]
[20151225,38579]
[20151224,38801]
[20151223,38735]
[20151222,38728]
[20151221,38160]
[20151218,37804]
[20151217,37767]
[20151216,37947]
[20151215,38596]
[20151214,38547]
[20151211,37853]
[20151210,37371]
[20151209,37098]
[20151208,37655]
[20151207,36918]
[20151204,36718]
[20151203,37345]
[20151202,37461]
[20151201,37158]
[20151130,37653]
[20151127,37604]
[20151126,37881]
[20151125,36711]
[20151124,35826]
[20151123,37215]
[20151120,37199]
[20151119,37108]
[20151118,37246]
[20151117,38359]
[20151116,38622]
[20151113,39773]
[20151112,39499]
[20151111,40018]
[20151110,40043]
[20151109,40489]
[20151106,40738]
[20151105,41468]
[20151104,40958]
[20151103,40988]
[20151102,41270]
[20151030,41478]
[20151029,41573]
[20151028,41779]
[20151027,41508]
[20151026,42185]
